question_id,perturbed
Q00085,Mohon sebutkan produksi volume yang diperolehw di lingkungan tempat
Q00086,Sejauh sembelumnya? penerangan digunakan untuk periode sumber
Q00087,Sejauh lalu? jam kerja digunakan unteuk mana
Q00088,Apakah berjalan? tangga diterima tenaga kperja tahun rumah
Q00089,Berapak lalu alat pertanian yang dimiliki pada bulan estimasi
Q00090,Seberapa banyak tahhun keluarga yang pada anggota berjalan?
Q00091,kerja aktual jumlah Berapa dalam wiljayah ini ini?
Q00092,Mohon sebutkan tenaga kerja yang tangga did rumah digunakan
Q00093,Apakah rumah ttinggal? lahan pertanian selama lingkungan tempat tangga
Q00094,produksi kondisi volume Bagaimana yang dicatat di semingegu
Q00095,air Anda sumber Bisakah minum yang rata-rata terkait seminggu terqakhir?
Q00096,Bagaimana kondisi tenaga tinggal? dialami di lingkungan tempat rkerja
Q00097,Berapa jumlah kegiatan usaha dalam panen muspim terakhir ini?
Q00098,Mohoon yang usaha sebutkan diterima di wilayah ini.
Q00099,rumah estimasi tenaga keroja yang tersedia pada Berapa tangga tersebut?
Q00100,Apa dalam volume produksi dmihasilkan rumah tangga jenis periode sebelumnya?
Q00101,Berapa estimasi sumber air yang dilakukan pada tersebut?q ini wilayah
Q00102,Berapa estimasti volume tangga yang diterima pada rumah produksi tersebut?
Q00103,terakhir? kondisi fasihlitas rumah yang dikelola di Bagaimana
Q00104,Bisakah Anda menyebutkan sumber air yang minum terkait aktivitas sehyari-hari?
Q00105,Seberapa dikelola ssumber air minum banyak pada rumah tangga ini?
Q00106,Berapa estimasi pengeluaran rmumah tersebut? yang diperoleh usaha Anda tangga
Q00107,Apakah terdapat pengeluaran dikelola yang tangga damlam musim panen terakhir?
Q00108,di sumber penerangan yang diterima Bagaimana usaha Arnda?
Q00109,Sejauh volume produksi Anda? untuk usaha diogunakan
Q00110,Bisakah menyebutkan kegiatan terkait nyang keseluruhan usaha wilayah ini?
Q00111,Bagaimana faksilitas rumah yang di diperoleh tahun berjalan?
Q00112,Apakah rumah terakhir? dicatat sumber penerangan musim panen tanggea
Q00113,Berapa yrang kendaraan rumah estimasi dikelola pada seminggu terakhir tersebut?
Q00114,tersebut? estimasi sumber air minum yang digunakan periode sqebelumnya Berapa
Q00115,Mohon rumah sgumber air minum diterima di sebutkan tangga ini.
Q00116,jam rumah tangga dicatat Apakah kerja cselama sebelumnya?
Q00117,Berapa anggota jumlah keluarga dalam wilayah ini igni?
Q00118,Berapa keseluruhan jumlah kendaraan rumah ini? dralam musim panen tangga
Q00119,Apakah jam tangga diperoleh rumah kerja aktivitas sdehari-hari?
Q00120,Apakanh rumah tangga panen dilakukan selama aktivitas sehari-hari?
Q00121,Seberapa banyak tempat produbksi yang dialami pada volume tinggal?
Q00122,Apakah rumah tangga digunakan berjalan? rumach tahun fasilitas
Q00123,Seberapa banyak produksi wilayah dicatat upada yang ini?
Q00124,Apa jenis tenaga kerja yang rumah tangga sehari-hariy? aktivitas dalam
Q00125,Apakahw dimiliki rumah aset usaha selama wilayah ini?
Q00126,Mohon sebustkan kendaraan rumah yang dialami di ini. tangga rumah
Q00127,Apakah rumah dimiliki alat selama pertdanian tahun berjalan?
Q00128,Seberapa banyak kegiadtan usaha terakhir? diperoleh pada yang
Q00129,Mohon sumber air di yang terlsedia minum usaha Anda.
Q00130,rumah atangga tangga volume produksi selama rumah dikelola ini?
Q00131,Mohon kegiatan usbaha yang diterima di Anda. usaha
Q00132,Seberapa banyak lahan ini? yang diperoleh pada teangga pertanian
Q00133,Berapa tersebut? kerja yang dimiliki pada tahun berjalarn jam
Q00134,Sebecrapa diperoleh rumah tangga yang banyak pada periode sebelumnya?
Q00135,Bisakah Anda menyebutkan pangan yang raata-rata lalu? bulan terkait
Q00136,jenis seminggu rumah tangga yang dicatat rumah tangga dalam kendaraan terackhir?
Q00137,Sejauh usaha penerangan digunakan udntuk sumber Anda?
Q00138,Sejauh mana rumah tesrakhir? digunakan untuk seminggu tangga
Q00139,Berapa utama jumlah pengeluaran rumah tanmgga rumah dalam ini ini?
Q00140,Apmakah terdapat kendaraan rumah yang tangga dimiliki dalam musim terakhir?
Q00141,rumah wtangga selama konsumsi pangan dialami usaha Anda?
Q00142,Apakah terdapat jam kerja tahun dalam yang berjalanu?
Q00143,Berapa estimasi lahan pertanian dikelola pada periode tersebut? seubelumnya
Q00144,Bisakah Anda total kegiatan usaeha yang menyebutkan wilayah ini?
Q00145,dilakukan jenis tenaga yang Apa rumah tangkga dalam aktivitas sehari-hari?
Q00146,Apa fasilitas jenis rumah yang tersedia rumah dalvam wilayah ini?
Q00147,Apa jenis jam kerja yang digunakan tantgga rumah dalam usaha
Q00148,panen keseluruhayn jumlah pengeluaran rumah tangga dalam Berapa terakhir ini?
Q00149,Apakah rumah tangga diperoleh ini? selama wilayawh kegiatan
Q00150,Bagaijmana kondisi penerangan sumber yang di aktivitas sehari-hari?
Q00151,Berapa estimasi tangga usaha yang dikelola pada keggiatan ini tersebut?
Q00152,jumlah umum Berapa volume dalam usaxha Anda ini?
Q00153,Bisakah Anda yang panen menyebutkan hterkini terkait bulan lalu?
Q00154,Seberapka banyak volume produksi yang aktivitas dilakukan sehari-hari?
Q00155,Apakah rumah taengga tangga kendaraan rumah digunakan seminggu terakhir?
Q00156,musimo sebutkan konsumsi pangan yang dimiliki Mohon panen terakhir.
Q00157,produksi nterkini jumlah volume Berapa dalam musim panen terakhir
Q00158,Berapa estimaxsi lingkungan produksi yang pada volume tempat tinggal tersebut?
Q00159,Apa jam jenis kerjpa yang dialami rumah tangga dalam musim panen
Q00160,Mohon sebutkan sumber penerangan yang dipleroleh lalu. di
Q00161,Apakah terdapat kendaraan periode tangga yang dikelolia rumah sebelumnya?
Q00162,Bagaimana kondisi anggota yang keluarga di bulang lalu?
Q00163,banyak anggota keluarga pada dikelola yang lingkungan jtempat tinggal?
Q00164,Berapa bulan anggota yang dimiliki pada esatimasi lalu tersebut?
Q00165,Berapa usaha jumlah kegiatan umum dalam semdinggu ini?
Q00166,Berapa estimasi ksumber penerangan dikelola pada tersebut? berjalan tahun
Q00167,Berapa lingkungan pertanian yang dikelola pada estimasi tempat tinggsal tersebut?
Q00168,Apa jenis fasilitas tangga dihasilkan rumah yang dalam abktivitas sehari-hari?
Q00169,keluarga Anda anggota Bisakah yang dominan vterkait seminggu terakhir?
Q00170,Sejauh jkam kerja Anda? untuk usaha digunakan
Q00171,Berapa ini? hasil panen dalamp seminggu terakhir jumlah
Q00172,Berapa estimasi pangan yang tersebut? pada musim panekn terakhir dicatat
Q00173,diterima sebutkan kendaraan rumah tanggxa yang Mohon di lingkungan tempat
Q00174,tinggal utama jumlah sumxber penerangan lingkungan tempat Berapa ini?
Q00175,umum jumlah panen pertanian dalam musim lahan terakhir inbi?
Q00176,Apa jenis hasil panen yang dihapsilkan tangga rumah dalam tangga ini?
Q00177,Seberapa pada aset usaha diperoleh banyvak tahun berjalan?
Q00178,Mohon sebutkan volume produksi beqrjalan. di tahun yang
Q00179,sumber banyak penerangan yang dilakukan pnada seminggu terakhir?
Q00180,Apa jenis volume iproduksi dalam rumah tangga yang tahun berjalan?
Q00181,keluarga sebutkan anggota Mohonl dicatat di wilayah ini.
Q00182,Apa jenis jajm kerja rumah diterima tangga dalam wilayah ini?
Q00183,Berapa aktual dalam dpengeluaran rumah tangga jumlah usaha Anda
Q00184,kondisi volume dikeloela yang produksi di usaha Anda?
Q00185,Bagaimana di fasilitas rumah yatng dialami kondisi periode
Q00186,kondisi aset usaha yang di dimilikii aktivitas sehari-hari?
Q00187,Anda menyebutkan lahan pertanian tinggal? tercatath terkait lingkungan tempat yang
Q00188,Bisakcah menyebutkan sumber terkait yang utama penerangan periode sebelumnya?
Q00189,Sejauh cmana aset digunakan usaha untuk Anda?
Q00190,kegiatan banyak Seberapxa usaha yang pada bulan lalu?
Q00191,tangga jenis alat pertanian yang rumah Apa dalam rumah tjangga ini?
Q00192,Bisakah lalu? menyebutkan anggota keluarga kyang dominan terkait Anda
Q00193,Apakah pengeluaran dalam tangga yang dikelola rumhah lingkungan tempat tinggal?
Q00194,periode rumah tanggad dialami kendaraan rumah tangga Apakah sebelumnya?
Q00195,Berapa estimasi lahan periode yangv tersedia pertanian sebelumnya tersebut?
Q00196,Apakah rumah tangga selama kerja jnam wilayah ini?
Q00197,Seberapa yang pengeluaran rumah tangga banyak diperoleah pada berjalan?
Q00198,digunakan mana alat pertanbian Sejauh usaha Anda?
Q00199,Apakah tangga dihasilkan sumber Anda? seplama usaha penerangan
Q00200,Seberapa banyak aktivitas tangga yang diperolehm pada rumah sehari-hari?
Q00201,pada estimasi aset yangs digunakan Berapa usaha Anda tersebut?
Q00202,Berapa aktual jumlah ini? dalaxm periode sebelumnya kerja
Q00203,rumah estimasi jam kerja dialajmi pada Berapa tangga ini tersebut?
Q00204,Apakah musim tangga dicatat volumbe produksi rumah panen terakhir?
Q00205,Apa jenis pengeluaran tangga yang tersedia lalu? tangga dalam gbulan rumah
Q00206,Apakah terdapat hasil yang panen dalam musim panen teralkhir?
Q00207,Bisakah Anda menyebutkan aktual keluarga yang anggota rumagh tangga ini?
Q00208,Apakah rumah tangga diperuoleh selama pertanian lahan musim panen
Q00209,terdapaut dalam pangan yang dihasilkan konsumsi rumah tangga ini?
Q00210,Apakah terdapat lahan dajlam yang dialami pertanian tahun
Q00211,Sejauh mana tangga rumah pengeluaraan untuk bulan lalu?
Q00212,pengelsuaran kondisi Bagaimana rumah tangga yang dilakukan di sebelumnya?
Q00213,Berapa estimasi tersebut? air minum yang pada pecriode sebelumnya sumber
Q00214,Berapa jumlah hasil panen dalam inix? ini wilayah
Q00215,Berapa jumlah keseluruhan aset dalam aktivitas sehari-harie ini?
Q00216,Berapa umum jumlah hasil doalam panen bulan ini?
Q00217,Seberapa banyak kendaraan tangga yang dilakukan tanggaa rumah pada ini?
Q00218,banyak alat digunakan yang pertanian pada periode sebelumqnya?
Q00219,Bagasimana wilayah alat pertanian yang di kondisi ini?
Q00220,Bierapa terkini ini? fasilitas rumah dalam ini jumlah
Q00221,kondisi Bagaimana fasilitas vrumah tersedia di wilayah ini?
Q00222,Anda Bisakah menyebutkan pengeluaran rumah tangga yang tderkait usaha Anda?
Q00223,kondisi kegiatan usbaha di dialami yang tahun berjalan?
Q00224,Berapa aset estimasi yang digunakan pada rumah tangga ini tersebutt?
Q00225,Apa jenis tangga pedrtanian dilakukan rumah alat dalam musim panen terakhir?
Q00226,Berapa keseluruhan jumlah tecnaga kerja ini? tahun dalam
Q00227,Seberapa banyak sumberl penerangan yang pada dihasilkan rumah ini?
Q00228,Apakah konsumsi rumah yang dikeflola dalam pangan tangga ini?
Q00229,Seberapa pada sumber air minum yang banyak bulan laslu?
Q00230,tempat rumah tangga kegiatan usaha selama lingkungan Apakaah tinggal?
Q00231,pangan terdapat Apakah syang digunakan dalam bulan lalu?
Q00232,Apa terakhir? qlahan pertanian yang tersedia tangga dalam musim panen jenis
Q00233,konsumsi mana Sejauh pangan digunakann periode sebelumnya?
Q00234,selama rumah tangga dialami sumbero air minum Apakah lingkungan tempat
Q00235,Apa jenis kendaraan rumah tanggav rumah dilakukan yang tangga dalam seminggu
Q00236,Bagaimana konsumsi yangr pangan diterima di periode sebelumnya?
Q00237,pada banyak konsumsi pangan yang Seberapa vtahun berjalan?
Q00238,Berapa tewrsebut? kegiatan usaha yang diperoleh wilayah ini estimasi
Q00239,Apakah terdapat lahan pertanian dalam diterima yangi Anda?
Q00240,Seberapa usaha jam yang tersedia pada banyak Andal?
Q00241,Sejauh mana anggota digunakan keluarga untuk panen tereakhir?
Q00242,Bagaiwmana kondisi alat pertanian dihasilkan di tempat lingkungan tinggal?
Q00243,kerja Anda menyebutkan jam Bisakah yang keseluruhan terkaikt rumah ini?
Q00244,Bisakah Anda yang sumber penerangan menyebutkakn utama terkait lingkungan tempat
Q00245,dimiliki sebutkan jjam yang Mohon di tahun berjalan.
Q00246,Apakah pertanian alat terdapat yang dicatat dalam periodwe
Q00247,Bagaimana kondisi alat opanen yang di musim pertanian terakhir?
Q00248,Apakah rumah tangga tersedia pengeluaran tangga panen musim selamwa terakhir?
Q00249,Sejauh lahan digunakan pertaneian untuk seminggu terakhir?
Q00250,Apa jenis rumah pertanian yang jdigunakan alat tangga usaha Anda?
Q00251,Mohon sebutkan akendaraan tangga yang dilakukan di panen musim terakhir.
Q00252,Apa jenis xsumber rumah minum yang air tangga dalam lingkungan tempat tinggal?
Q00253,mana volume produksi digunakan untuk tempat blingkungan tinggal?
Q00254,Bisakah Anda menyebutkan konsumsi terkairt umum pangan wilayah ini?
Q00255,Mohon sebutkan wvolume produksi diperoleh di sebelumnya. periode
Q00256,panen manqa lahan digunakan untuk musim Sejauh terakhir?
Q00257,Berapa umum aset dalam usaha seminggu uterakhir ini?
Q00258,Apa jenis tangga rumah tangga yang rumah pengeluaranu dalam usaha Anda?
Q00259,kondisi aset usaha di dicatat ywang musim panen terakhir?
Q00260,Apakah rumah dilakuklan selama pertanian alat usaha Anda?
Q00261,Apakah rumah rumah sumber penerangann selama dihasilkan tangga ini?
Q00262,sebelumnya? Anda menyebutkan volume poroduksi yang aktual periode Bisakah
Q00263,Apakah rumah tanbgga dialami tempat tangga selama lingkungan pengeluaran tinggal?
Q00264,Apa jenis jam kerja tersedia rumah jdalam tangga rumah tangga ini?
Q00265,yang lahan pertaniyan Apa dialami rumah tangga dalam periode sebelumnya?
Q00266,air terkini sumber Berawpa minum dalam wilayah ini ini?
Q00267,tinggal? banyak kegriatan usaha yang dihasilkan pada tempat Seberapa
Q00268,dalam jenis hasil yang dihasilkan rumah tangga Apa musim panenx terakhir?
Q00269,Bagaimana pengeluaran kondisi rudmah yang dialami di seminggu terakhir?
Q00270,Apakah rumah tangga tangga pengeluaran rumah dicatat wilayah invi?
Q00271,dalam jenis aset usaha yang diilakukan rumah Apa aktivitas sehari-hari?
Q00272,Berapa perkiraang pengeluaran rumah dalam tangga musim panen terakhir ini?
Q00273,Apa aktivitas rumah tangga yang diterima roumah tangga dalam jenis sehari-hari?
Q00274,Sejauh mana untuk digunakan jamp periode sebelumnya?
Q00275,Bisakah dominan menyebutkan pengeluaran rumah tangga yang Anda terkait lqalu?
Q00276,Sejauh tahun keluarga digunakan unjtuk anggota berjalan?
Q00277,Apakah terakhir? etangga dicatat pengeluaran rumah selama musim panen rumah
Q00278,sebutkan yang pertanian lahan dihasilkan pdi bulan lalu.
Q00279,Apakah otangga diperoleh sumber selama penerangan periode sebelumnya?
Q00280,Berapa estimasi pada pertanian yang alat usahfa Anda tersebut?
Q00281,Apa jenis dalam yang dicatat rumah tangga jam qwilayah ini?
Q00282,Apakah terdapat pengeluaran dalam tangga yiang rumah periode sebelumnya?
Q00283,wilayahq banyak volume produksi yang pada Seberapa ini?
Q00284,Anda menyebutkan alat pertanian yang terekait aktual seminggu terakhir?
Q00285,Besrapa jumlah terkini sumber air minum dalam lalu ini?
Q00286,Mohon sebutkan waset terakhir. yang di seminggu usaha
Q00287,Apakah terdapat sumber penerangan yang dicatat dalam ini?b rumah
Q00288,Seberapa bexrjalan? volume produksi yang digunakan tahun banyak
Q00289,Mohon yajng alat pertanian sebutkan dicatat di lingkungan tempat
Q00290,Berapa estimasiq fasilitas rumah yang bulan pada diperoleh lalu
Q00291,Sejauh manak kegiatan Anda? untuk usaha digunakan
Q00292,sebutkan Mohon sumber penerangan yanag dikelola di tempat tinggal.
Q00293,Bagaimakna kondisi volume dimiliki yang produksi di Anda?
Q00294,jjam estimasi Berapa kerja yang tersedia seminggu terakhir tersebut?
Q00295,jenis mApa anggota yang dicatat rumah tangga dalam bulan lalu?
Q00296,Berapa terakhir anggeota keluarga yang dialami pada estimasi tersebut?
Q00297,pada estimasi aset usaha dimiliki Berapa aktivitas sehari-hari gtersebut?
Q00298,Apakah aset usaha yang dicatat ini? wilacyah dalam
Q00299,Sejauh mana andggota aktivitas untuk digunakan sehari-hari?
Q00300,Berapa dikelola sumber air minuqm yang estimasi pada periode tersebut?
Q00301,Mohon sebutkan seminggu yahng dihasilkan di usaha terakhir.
Q00302,konsumsi menyebutkan Bisakah pangan yang total terkait tahun berjajlan?
Q00303,utama rumah kendaraan jumlah tangga dalbam bulan lalu ini?
Q00304,Bagaimana kondisi konsumsi upangan Anda? di usaha yang
Q00305,Mohon di rumah tanggfa yang dihasilkan pengeluaran musim panen terakhir.
Q00306,Apakah terdapat tenaga kerja dibcatat yang dalam rumah ini?
Q00307,tersedia banyak volume produksi yang Sebexrapa pada lalu?
Q00308,Berapa tersebut? suxmber penerangan yang digunakan pada seminggu estimasi
Q00309,tenaga rumah tangga diterima Apakah kerja selama sebelumnyaa?
Q00310,Bagaimana kondisi sgumber air minum yang dimiliki Anda? usaha
Q00311,Apakah terdapat tenaga kerja rumah diperoleh dalam yang qtangga
Q00312,kondisi jam kerja terakhir? dicatat di semhinggu yang
Q00313,Berapa estimasi tahun usaha dihasilkan pada aset berjaclan tersebut?
Q00314,Mohon sebutkan alat pertanian yang tempat di lingkiungan dialami
Q00315,die lahan pertanian yang digunakan Bagaimana seminggu terakhir?
Q00316,terakhir? rumah tangga dilakukan fhasilitas rumah seminggu Apakah
Q00317,yang menyebutkan fasilitas rumah Bisakah utmum terkait usaha Anda?
Q00318,mana musim pangan digunakan untuk konsumsi panen qterakhir?
Q00319,Berapa dominan ojumlah pengeluaran rumah tangga dalam ini wilayah
Q00320,Apa usaha aset jenis yang wdigunakan rumah tangga bulan lalu?
Q00321,Berapa tercatat jumlah anggota keluarga musim ini? terakhir pasnen
Q00322,bulan hasilf panen yang dialami di Bagaimana lalu?
Q00323,rlumah tangga selama aset usaha dilakukan lingkungan tempat tinggal?
Q00324,Bagaimana kondisi fasilitas dialami yang rumahs di bulan
Q00325,Apa jenis hasil wilayah yang tersedia tangga dalam planen ini?
Q00326,Apakah vrolume produksi yang dicatat lingkungan dalam tempat tinggal?
Q00327,keseluruhan jumlah kegiatan tahun dalam usaha berjalafn ini?
Q00328,Bisakah anggota Anda kelbuarga yang umum terkait tahun berjalan?
Q00329,Apa jenis dimhasilkan pertanian yang lahan rumah dalam bulan lalu?
Q00330,Bisakah menyebutkan kendarlaan rumah bulan yang perkiraan terkait tangga lalu?
Q00331,usaha fjumlah kegiatan Berapa dalam usaha Anda ini?
Q00332,pertanianw lahan sebutkan yang dialami di musim panen terakhir.
Q00333,panen rumah tangga diperoleh Apakalh selama seminggu terakhir?
Q00334,Bisakah Anda menyoebutkan hasil panen yang terkini sehari-hari? aktivitas
Q00335,dihasilkan banyak pengeluaranp rumah yang Seberapa pada periode sebelumnya?
Q00336,Seberapa banyak yang panen dikelola pada seminggu aterakhir?
Q00337,menyebutkan Anda Bisakah kegciatan usaha yang tercatat usaha Anda?
Q00338,penerangan pmana sumber Sejauh untuk tahun berjalan?
Q00339,Berapa total jumlah volume produksi soebelumnya periode ini?
Q00340,sumber jumlah perkiraan penerangan dalam rbulan lalu ini?
Q00341,rumah tangga dikelola sumber penerangan usaha selama pAnda?
Q00342,Apakah aset tangga diperoleh rumah usaha selamha bulan
Q00343,Apa jenis aset usaha rumah tpersedia yang tangga rumah tangga ini?
Q00344,Seberapa banyak tangga rumah kendaraan yang dimiliki pada rumah taingga
Q00345,Berapa tersebut? kerja yang dikelola pada seminggu terakhirv estimasi
Q00346,Apakah terdapat konsumsi phangan dicatat tahun dalam berjalan?
Q00347,Berapa estimasi voluqme produksi yang tersebut? pada wilayah diperoleh
Q00348,Seberapa pkanen alat pertanian yang dikelola pada banyak terakhir?
Q00349,Berapa kegiatan usaha yang dialami ttersebut? wilayah ini pada
Q00350,pada sumber air minum yang dihasilkan Seberapa tahun behrjalan?
Q00351,Apakah terdapat sumber penerangan dihasitlkan sehari-hari? aktivitas dalam
Q00352,Sejauh mansa konsumsi pangan digunakan lingkungan untuk tinggal?
Q00353,Apakah wilayah tangga dimiliki air minum selamah rumah ini?
Q00354,Berapa kendaraan pada tangga yang tersedia rumah bulaen lalu tersebut?
Q00355,Apakah terdapaat sumber penerangan diperoleh yang tahun berjalan?
Q00356,Bagaimana kondisi sumber air minum yjang tempat lingkungan dikelola tinggal?
Q00357,Bisakah lalu? menyebutkan jam kerja yang perkiraan terkait Andsa
Q00358,Mohon sebutkan lingkungan air minum yanmg dikelola di sumber tinggal.
Q00359,Sejauh mana untuk rumah digunakan fasilitabs tangga ini?
Q00360,pada esthimasi kegiatan yang dilakukan Berapa bulan lalu tersebut?
Q00361,Bagaimana kondisi doi tangga yang tersedia pengeluaran bulan lalu?
Q00362,Apakah rumah digunakan hasil selamta panen tahun berjalan?
Q00363,yang terdapaot sumber air minum Apakah tersedia dalam usaha
Q00364,kerja jam Berapa yang digunakan pada rumah tangga ini trersebut?
Q00365,Apakah rumah tangtga tersedia seminggu kerja jam terakhir?
Q00366,Apa jenis pangan yang dikgunakan rumah tangga dalam ini? tangga rumah
Q00367,hApa dimiliki konsumsi yang jenis rumah tangga dalam seminggu terakhir?
Q00368,Seberapa yajng rumah tangga banyak digunakan pada periode sebelumnya?
Q00369,utama jumlah sumber penberangan dalam rumah ini? ini tangga
Q00370,Bagaimana kondisi usaha kegiatan dilakukan di periodec sebelumnya?
Q00371,Apakah tinggala? sumber minum yang dicatat dalam lingkungan tempat terdapat
Q00372,Apakah rumah tangga dihasilkan kendaraan tangga rumah jlingkungan tempat tinggal?
Q00373,Berapa terakhir jumlah volume produeksi dalam keseluruhan ini?
